,speaker,condition_m,condition_s,mov_av_rhythm,env8_av_rhythm,env8_av_rhythmimf1,env8_av_rhythmimf2
165,hqn,moderate ,spont speech1,0.875627252,3.436655434,3.883754296,1.909530963
166,hqn,moderate ,spont speech2,0.861054119,3.499029906,3.869157005,1.912915524
167,hqn,moderate ,spont speech3,0.88835454,3.755493408,4.234918098,2.079433003
168,hsx,low ,reading1,0.851722803,5.013450721,5.661989018,2.821739664
169,hsx,low ,reading2,0.870482722,4.933586338,5.464204402,2.892299886
170,hsx,low ,reading3,0.867831594,4.567252797,5.275779376,2.727481091
171,hsx,low ,spont speech1,0.848666642,4.528576629,5.313272278,2.583603217
172,hsx,low ,spont speech2,0.801479655,4.406057378,5.265961495,2.543986595
173,hsx,low ,spont speech3,0.848461685,4.285443877,5.178875639,2.567987274
174,hsx,moderate ,reading1,1.108374384,4.549808429,5.120192308,2.487021611
175,hsx,moderate ,reading2,1.075731497,4.56039877,5.090677696,2.500529773
176,hsx,moderate ,reading3,1.060763288,4.474070726,4.912122578,2.558297487
177,hsx,moderate ,spont speech1,1.070528967,3.65782172,4.279745402,2.116526086
178,hsx,moderate ,spont speech2,1.048167707,3.830749098,4.343518408,2.149514178
179,hsx,moderate ,spont speech3,1.011258147,3.869902073,4.497032116,2.186996027
180,ilu,low ,reading1,1.611603546,4.882554764,5.408257486,2.798310454
181,ilu,low ,reading2,1.734646038,4.780691576,5.175214667,2.807424594
182,ilu,low ,reading3,1.951748441,4.797441365,5.513383939,2.707049049
183,ilu,low ,spont speech1,1.804375611,3.5990683,4.200165302,2.022936642
184,ilu,low ,spont speech2,1.679922694,3.504993874,4.26242899,2.007136485
185,ilu,low ,spont speech3,1.803721603,4.064640654,4.761003671,2.289092701
186,ilu,moderate ,reading1,1.645757453,4.66613033,5.22858292,2.708864154
187,ilu,moderate ,reading2,1.721518987,4.447236181,4.699673285,2.457680251
188,ilu,moderate ,reading3,1.779956146,4.571861581,4.824450619,2.430289076
189,ilu,moderate ,spont speech1,1.871825204,3.223691023,3.706899527,1.679278532
190,ilu,moderate ,spont speech2,1.812792646,3.268422407,3.859844748,1.716959265
191,ilu,moderate ,spont speech3,1.757728952,3.401465484,3.799321825,1.764048839
192,irc,low ,reading1,1.057305984,4.404466501,5.292536696,2.686380675
193,irc,low ,reading2,1.012658228,4.34310532,5.230602279,2.515310586
194,irc,low ,reading3,1.035686142,4.522006366,5.136084284,2.650176678
195,irc,low ,spont speech1,1.111233764,3.892248488,4.853016641,2.263873576
196,irc,low ,spont speech2,1.125186019,3.875157857,4.849359553,2.28274218
197,irc,low ,spont speech3,1.127510473,3.450005789,4.2758461,1.962678206
198,irc,moderate ,reading1,1.073684211,4.167094324,4.925097476,2.410631503
199,irc,moderate ,reading2,1.058537102,4.085403408,4.720853859,2.289840124
200,irc,moderate ,reading3,1.06315118,4.315952504,4.747651976,2.451438662
201,irc,moderate ,spont speech1,1.084624088,3.476712223,4.145879259,1.889202896
202,irc,moderate ,spont speech2,1.076282505,3.640214961,4.275683521,2.144456227
203,irc,moderate ,spont speech3,1.08687153,3.338521401,4.046692607,2.009502298
204,ite,low ,reading1,0.893985035,3.748225272,4.297207761,2.138531416
205,ite,low ,reading2,0.853100291,3.903122498,4.482689614,2.297923806
206,ite,low ,reading3,0.854062133,4.090531561,4.81627569,2.284290313
207,ite,low ,spont speech1,0.856498873,3.169276659,3.75093214,1.696118355
208,ite,low ,spont speech2,0.831617298,3.364969802,3.961094988,1.955164697
209,ite,low ,spont speech3,0.821484992,3.015114731,3.578980343,1.693652723
210,ite,moderate ,reading1,0.863083562,3.718180951,4.308865586,1.936535327
211,ite,moderate ,reading2,0.859977949,4.208001744,4.664850136,2.147945205
212,ite,moderate ,reading3,0.876404494,4.123043713,4.561101549,2.272973266
213,ite,moderate ,spont speech1,0.832846857,3.050716221,3.50483559,1.612215634
214,ite,moderate ,spont speech2,0.79587325,2.803466104,3.378722785,1.647290353
215,ite,moderate ,spont speech3,0.787313849,3.084249084,3.655677656,1.716486338
216,jwi,low ,reading1,0.747198007,5.048796357,5.920540119,3.017689906
217,jwi,low ,reading2,0.723085163,5.109952968,5.84498094,2.940800409
218,jwi,low ,reading3,0.725041829,4.952181318,5.577376277,2.846224799
219,jwi,low ,spont speech1,0.733971889,4.564678431,5.344903019,2.518523926
220,jwi,low ,spont speech2,0.729792488,4.804211912,5.490568797,2.737419945
221,jwi,low ,spont speech3,0.736607957,4.808420142,5.983491331,2.850236317
222,jwi,moderate ,reading1,0.715166461,4.753416518,5.325725155,2.79148117
223,jwi,moderate ,reading2,0.69591152,4.909782742,5.497607068,2.800294768
224,jwi,moderate ,reading3,0.711368726,4.901465387,5.456612353,2.755453502
225,jwi,moderate ,spont speech1,0.721878471,4.52979608,5.321718472,2.512781895
226,jwi,moderate ,spont speech2,0.722793819,4.778780461,5.443717804,2.713674432
227,jwi,moderate ,spont speech3,0.718413244,4.660934521,5.379808252,2.708663855
228,kgj,low ,reading1,1.038286827,4.894046418,5.474268416,2.690013958
229,kgj,low ,reading2,0.992366412,4.830917874,5.225359089,2.556148406
230,kgj,low ,reading3,0.970491803,5.025125628,5.357372827,2.633957392
231,kgj,low ,spont speech1,0.913063327,4.004431133,4.857037371,2.323004309
232,kgj,low ,spont speech2,0.923616261,4.320450131,5.586592179,2.463515866
233,kgj,low ,spont speech2,0.89375999,4.238821401,5.440682347,2.37310055
234,kgj,moderate ,reading1,1.125,4.649455524,5.13824321,2.742073693
235,kgj,moderate ,reading2,1.112692457,4.639435199,5.289546252,2.510141988
236,kgj,moderate ,reading3,1.084762866,4.628831712,5.096639173,2.460327224
237,kgj,moderate ,spont speech1,1.001152643,3.945471228,4.546347855,2.196793337
238,kgj,moderate ,spont speech2,0.973900858,3.818648893,4.352957512,2.049536249
239,kgj,moderate ,spont speech3,0.959843291,3.895004234,4.552856119,2.140642845
240,knb,low ,reading1,0.930785226,4.026062433,4.861921431,2.383976551
241,knb,low ,reading2,0.967809804,4.245234415,4.985578904,2.548166563
242,knb,low ,reading3,0.994182972,4.42532268,4.955969691,2.524050895
243,knb,low ,spont speech1,1.036889332,3.33883949,4.109156043,1.975742661
244,knb,low ,spont speech2,1.080873898,3.529232411,4.276240567,1.999313213
245,knb,low ,spont speech3,1.064437777,3.611368331,4.302300734,2.060606061
246,knb,moderate ,reading1,1.071811361,4.12729026,4.858299595,2.372685185
247,knb,moderate ,reading2,1.024428684,4.090336338,4.825581395,2.365716502
248,knb,moderate ,reading3,1.048281423,4.251921349,4.890707655,2.366626554
249,knb,moderate ,spont speech1,0.972730017,3.415838281,4.123023551,1.935914553
250,knb,moderate ,spont speech2,0.972342264,3.293187129,4.091317634,1.957397812
251,knb,moderate ,spont speech3,0.955558926,3.184184713,3.840639855,1.850592945
252,koe,low ,reading1,0.892985741,4.928591431,5.422023477,3.047404063
253,koe,low ,reading2,0.905250453,4.711289859,5.277498924,2.84057971
254,koe,low ,reading3,0.91421606,4.885759448,5.317620006,2.74289014
255,koe,low ,spont speech1,0.908147379,3.626058674,4.268861101,2.096436059
